128,1,39,181,0.0000000000032965852270194773
128,1,44,188,0.0000000000069895200738301355
128,1,25,196,0.0000000000030448976673369543
128,1,27,176,0.000000000004312772361458883
128,1,25,190,0.000000000005445643935786393
256,1,102,940,0.000000000012662759729664685
256,1,82,1214,0.00000000002254418873803843
256,1,97,1163,0.00000000004370703798883824
256,1,133,1183,0.00000000002998357118144668
256,1,87,1183,0.000000000020456969451743134
512,1,418,9038,0.000000000030040414600307486
512,1,289,6398,0.00000000008480305346836303
512,1,433,9049,0.00000000007379452604538983
512,1,284,8084,0.00000000011622103279762541
512,1,281,6922,0.00000000010350498236277872
1024,1,1043,45872,0.000000001754044021140544
1024,1,1160,45936,0.00000000242910114245376
1024,1,1907,51676,0.0000000005749438702906673
1024,1,1378,57076,0.0000000004945572840142631
1024,1,1375,65206,0.0000000008758302971756393
2048,1,4431,379056,0.000000006919909090186138
2048,1,4652,370180,0.000000013863274084258137
2048,1,4633,380203,0.000000005546085812824231
2048,1,4554,366804,0.000000027550063785852785
2048,1,4784,371559,0.000000005211523657067119
128,2,25,120,0.0000000000025728308372663378
128,2,24,122,0.00000000021492718715876435
128,2,25,123,0.000000000005703585751840971
128,2,22,117,0.000000000002220890138460163
128,2,25,148,0.00000000010659029214821203
256,2,100,904,0.000000000013221720015129298
256,2,112,711,0.00000000002211697491816267
256,2,79,938,0.00000000010150780216378053
256,2,106,683,0.00000000013442158497412038
256,2,104,708,0.000000000673641809001424
512,2,379,4913,0.0000000010331106340781087
512,2,418,5075,0.00000000026003554864928446
512,2,441,4494,0.00000000005409628300867553
512,2,269,4790,0.00000000022784729658553715
512,2,272,4886,0.000000000033508307240026625
1024,2,1386,24695,0.00000000026032798139397073
1024,2,1534,24954,0.00000000040448725850221007
1024,2,1381,24602,0.0000000008566678477706091
1024,2,1605,24773,0.0000000002980524271833929
1024,2,1868,32771,0.000000001152324236031177
2048,2,4562,202640,0.000000007274586266703409
2048,2,4654,193026,0.00000002745851779284436
2048,2,4687,196775,0.00000010916191254632206
2048,2,4582,199793,0.000000002314994418384231
2048,2,4606,203679,0.000000004078701598686507
128,4,23,94,0.000000000007018718939377777
128,4,35,119,0.000000000004027000954920368
128,4,25,126,0.0000000000010771827874123118
128,4,44,118,0.00000000001210864741807427
128,4,39,128,0.00000000001276712069397945
256,4,85,498,0.00000000002567945855957987
256,4,118,441,0.000000000006140532526899278
256,4,113,472,0.000000000009514019202091125
256,4,92,632,0.00000000011982614900318822
256,4,77,676,0.00000000019281265473125586
512,4,418,2776,0.0000000005286096005363561
512,4,418,3094,0.0000000006136504637765938
512,4,275,2994,0.00000000004441713663538849
512,4,291,3015,0.00000000003625522104755419
512,4,437,2837,0.00000000013447820634837626
1024,4,1527,18214,0.0000000004901911765387012
1024,4,1034,18324,0.0000000005116851387043653
1024,4,1047,17807,0.0000000065633094514794266
1024,4,1182,14908,0.0000000011225420593063973
1024,4,1378,15591,0.00000000016320829132610016
2048,4,4960,115208,0.0000000027299562610494377
2048,4,5003,116274,0.00000008648823102141989
2048,4,5025,117131,0.0000000016413879144749899
2048,4,4672,118381,0.0000000018753003594440543
2048,4,5259,117703,0.0000000019798618300370663
128,8,44,110,0.0000000000055999649362092896
128,8,21,71,0.000000000001521782699853702
128,8,16,97,0.000000000004784617146924575
128,8,27,90,0.000000000006161737786669619
128,8,25,90,0.00000000000243508916734451
256,8,113,387,0.0000000004989875179717274
256,8,100,421,0.000000000028756552694630955
256,8,80,440,0.0000000001288147366551584
256,8,107,394,0.000000000037768899119328125
256,8,104,372,0.000000000020165868974686418
512,8,329,1846,0.00000000012205125798914196
512,8,411,1791,0.0000000021729095189826353
512,8,431,2303,0.00000000015936585384679347
512,8,468,2138,0.00000000010579725984172228
512,8,270,2173,0.0000000003244928770129718
1024,8,1393,10716,0.0000000002945970134504705
1024,8,1542,10898,0.0000000009907081821580732
1024,8,1058,10818,0.0000000007955293312988943
1024,8,1494,10694,0.0000000012676801830480144
1024,8,1512,10916,0.0000000024938930920370694
2048,8,4650,72127,0.000000008693749276034168
2048,8,4683,75586,0.00000003732624742625035
2048,8,4696,77241,0.00000001373772939849971
2048,8,5064,72974,0.00000004558886423922104
2048,8,4437,77317,0.00000006309762638304998
128,16,39,137,0.00000000004771472106313013
128,16,27,97,0.0000000005221141297084841
128,16,30,116,0.000000000020135226819206764
128,16,22,81,0.0000000000005469698767986605
128,16,39,117,0.000000000025762947331031683
256,16,75,373,0.000000000015831558286549807
256,16,100,363,0.000000000007200906537718765
256,16,90,384,0.00000000016652501599878633
256,16,77,341,0.000000000047724380003444367
256,16,99,358,0.000000000028250290995401883
512,16,319,1654,0.00000000010276401951614389
512,16,429,1606,0.00000000007211686803287876
512,16,415,1641,0.0000000007545162272748485
512,16,270,1692,0.00000000142385592205585
512,16,411,1449,0.00000000014836354367275817
1024,16,1812,7759,0.0000000004755558169478036
1024,16,1071,7111,0.0000000008422371688965313
1024,16,1613,7528,0.0000000024501203288451734
1024,16,1495,7241,0.000000004401029762846065
1024,16,1080,7630,0.00000000011623709402404832
2048,16,5725,44859,0.000000005318729012770973
2048,16,5056,44927,0.000000005961726667891298
2048,16,4106,44922,0.000000014165197681492714
2048,16,4668,45829,0.0000000017706451860277639
2048,16,5316,44877,0.000000010295928554171496
128,32,39,190,0.000000000022115864695138043
128,32,31,167,0.000000000002574829238710663
128,32,22,159,0.0000000000023960093168777044
128,32,35,170,0.000000000015022205701598068
128,32,44,171,0.000000000008749667657070859
256,32,83,392,0.000000000022080781647559888
256,32,102,402,0.00000000003843370066647367
256,32,98,407,0.000000000006815659148173836
256,32,77,390,0.00000000003186451102976662
256,32,92,393,0.0000000002821638478422983
512,32,597,1297,0.0000000001587988629481174
512,32,280,1376,0.000000000415259049368899
512,32,305,1317,0.00000000004088092827222075
512,32,296,1296,0.00000000010230882807604758
512,32,361,1412,0.0000000009039733406268624
1024,32,1388,6265,0.000000037623445692247515
1024,32,1516,6272,0.000000001856919729092965
1024,32,1531,6160,0.0000000013712970314827544
1024,32,1316,6367,0.00000000016410306447056655
1024,32,1379,6214,0.0000000021382146053738893
2048,32,4148,30192,0.000000002459942471944032
2048,32,4132,31327,0.0000000011406180444595293
2048,32,4111,31028,0.0000000015647437789922947
2048,32,4118,30939,0.000000009299928827033455
2048,32,4555,31198,0.000000002883576710743796
128,36,39,199,0.000000000001020961093445294
128,36,26,187,0.000000000004516535293911754
